Token: INICIO, Valor: inicio
Token: INT, Valor: int
Token: IDENTIFIER, Valor: x
Token: SEMICOLON, Valor: ;
Token: IDENTIFIER, Valor: x
Token: ASSIGN, Valor: =
Token: NUMDEC, Valor: 100.77
Token: SEMICOLON, Valor: ;
Token: WHILE, Valor: while
Token: OP, Valor: (
Token: IDENTIFIER, Valor: x
Token: GE, Valor: >=
Token: NUM, Valor: 20
Token: CP, Valor: )
Token: OB, Valor: {
Token: IDENTIFIER, Valor: x
Token: ASSIGN, Valor: =
Token: NUM, Valor: 1
Token: SEMICOLON, Valor: ;
Token: CB, Valor: }
Token: FIN, Valor: fin
